osm_uid,osm_type,osm_id,category,name,brand,brand:wikidata,addr:street,addr:district,opening_hours,website,phone,operator,cuisine,wikidata,lat,lon,_raw_tags
node/10017650321,node,10017650321,restaurants,L’eto,,,,,Fr-Su 09:00-24:00; Mo-Th 09:00-23:00,,,L'ETO,,,24.4879248,54.607788,"{""air_conditioning"": ""yes"", ""amenity"": ""restaurant"", ""contact:email"": ""ae@letocaffe.com"", ""contact:facebook"": ""https://facebook.com/letocaffe.ae"", ""contact:instagram"": ""https://instagram.com/letocaffe.official"", ""contact:phone"": ""+971 2 491 1283"", ""contact:website"": ""https://letocaffe.com"", ""diet:halal"": ""yes"", ""diet:vegan"": ""yes"", ""diet:vegetarian"": ""yes"", ""indoor_seating"": ""yes"", ""name"": ""L’eto"", ""opening_hours"": ""Fr-Su 09:00-24:00; Mo-Th 09:00-23:00"", ""operator"": ""L'ETO"", ""outdoor_seating"": ""no"", ""payment:credit_cards"": ""yes"", ""payment:debit_cards"": ""yes"", ""smoking"": ""no"", ""toilets"": ""no"", ""wheelchair"": ""limited""}"
node/10017650323,node,10017650323,restaurants,L’eto,,,,,"Fr-Sa 09:00-00:00;Mo-Th,Su 09:00-23:00",,,L'ETO,,,24.5006754,54.3883431,"{""amenity"": ""restaurant"", ""contact:email"": ""ae@letocaffe.com"", ""contact:facebook"": ""https://facebook.com/letocaffe.ae"", ""contact:instagram"": ""https://instagram.com/letocaffe.official"", ""contact:phone"": ""+971 2 679 4222"", ""contact:website"": ""https://letocaffe.com"", ""name"": ""L’eto"", ""opening_hours"": ""Fr-Sa 09:00-00:00;Mo-Th,Su 09:00-23:00"", ""operator"": ""L'ETO""}"
node/10017864808,node,10017864808,fast_food,House of Tea,,,,,Mo-Su 05:00-01:00,,,House of Tea Cafeteria,burger,,24.4798377,54.3590239,"{""amenity"": ""fast_food"", ""contact:email"": ""houseoftea1992@gmail.com"", ""contact:phone"": ""+971 2 631 4231;+971 50 958 4710"", ""contact:website"": ""https://houseoftea.ae"", ""cuisine"": ""burger"", ""name"": ""House of Tea"", ""opening_hours"": ""Mo-Su 05:00-01:00"", ""operator"": ""House of Tea Cafeteria"", ""takeaway"": ""only""}"
node/10017864809,node,10017864809,fast_food,House of Tea,,,,,Mo-Su 04:30-01:00,,,House of Tea Cafeteria,burger,,24.4471105,54.4017112,"{""amenity"": ""fast_food"", ""contact:email"": ""houseoftea1992@gmail.com"", ""contact:phone"": ""+971 2 448 8221;+971 56 508 3987"", ""contact:website"": ""https://houseoftea.ae"", ""cuisine"": ""burger"", ""name"": ""House of Tea"", ""opening_hours"": ""Mo-Su 04:30-01:00"", ""operator"": ""House of Tea Cafeteria"", ""takeaway"": ""only""}"
node/10017864811,node,10017864811,fast_food,House of Tea,,,,,Mo-Su 04:00-01:00,,,House of Tea Cafeteria,burger,,24.2867775,54.641836,"{""amenity"": ""fast_food"", ""contact:email"": ""houseoftea1992@gmail.com"", ""contact:phone"": ""+971 2 583 6395;+971 56 508 3980"", ""contact:website"": ""https://houseoftea.ae"", ""cuisine"": ""burger"", ""name"": ""House of Tea"", ""opening_hours"": ""Mo-Su 04:00-01:00"", ""operator"": ""House of Tea Cafeteria"", ""takeaway"": ""only""}"
node/10017864812,node,10017864812,fast_food,House of Tea,,,,,Mo-Su 04:30-24:00,,,House of Tea Cafeteria,burger,,24.4941222,54.3638277,"{""amenity"": ""fast_food"", ""contact:email"": ""houseoftea1992@gmail.com"", ""contact:phone"": ""+971 2 626 2447;+971 56 508 3986"", ""contact:website"": ""https://houseoftea.ae"", ""cuisine"": ""burger"", ""name"": ""House of Tea"", ""opening_hours"": ""Mo-Su 04:30-24:00"", ""operator"": ""House of Tea Cafeteria"", ""takeaway"": ""only""}"
node/10017864813,node,10017864813,fast_food,House of Tea,,,,,"Fr 00:00-12:00,13:30-00:00;Mo-Th,Sa-Su 00:00-24:00",,,House of Tea Cafeteria,burger,,24.4121547,54.5057675,"{""amenity"": ""fast_food"", ""contact:email"": ""houseoftea1992@gmail.com"", ""contact:phone"": ""+971 2 552 4244;+971 54 998 3529"", ""contact:website"": ""https://houseoftea.ae"", ""cuisine"": ""burger"", ""name"": ""House of Tea"", ""opening_hours"": ""Fr 00:00-12:00,13:30-00:00;Mo-Th,Sa-Su 00:00-24:00"", ""operator"": ""House of Tea Cafeteria"", ""takeaway"": ""only""}"
node/10017864814,node,10017864814,fast_food,House of Tea,,,,,Mo-Su 05:00-01:00,,,House of Tea Cafeteria,burger,,24.455972,54.384827,"{""amenity"": ""fast_food"", ""contact:email"": ""houseoftea1992@gmail.com"", ""contact:phone"": ""+971 2 443 4177;+971 56 508 3989"", ""contact:website"": ""https://houseoftea.ae"", ""cuisine"": ""burger"", ""name"": ""House of Tea"", ""opening_hours"": ""Mo-Su 05:00-01:00"", ""operator"": ""House of Tea Cafeteria"", ""takeaway"": ""only""}"
node/10017864815,node,10017864815,fast_food,House of Tea,,,,,Mo-Su 05:00-01:00,,,House of Tea Cafeteria,burger,,24.4764201,54.354271,"{""amenity"": ""fast_food"", ""contact:email"": ""houseoftea1992@gmail.com"", ""contact:phone"": ""+971 2 658 3866;+971 56 508 3982"", ""contact:website"": ""https://houseoftea.ae"", ""cuisine"": ""burger"", ""name"": ""House of Tea"", ""opening_hours"": ""Mo-Su 05:00-01:00"", ""operator"": ""House of Tea Cafeteria"", ""takeaway"": ""only""}"
node/10017864816,node,10017864816,fast_food,House of Tea,,,,,"Fr 05:00-12:45,13:30-01:00; Mo-Th,Sa-Su 05:00-01:00",,,House of Tea Cafeteria,burger,,24.4752801,54.37446,"{""amenity"": ""fast_food"", ""contact:email"": ""houseoftea1992@gmail.com"", ""contact:phone"": ""+971 2 641 9109;+971 56 508 3990"", ""contact:website"": ""https://houseoftea.ae"", ""cuisine"": ""burger"", ""name"": ""House of Tea"", ""opening_hours"": ""Fr 05:00-12:45,13:30-01:00; Mo-Th,Sa-Su 05:00-01:00"", ""operator"": ""House of Tea Cafeteria"", ""takeaway"": ""only""}"
node/10017927617,node,10017927617,fast_food,House of Tea,,,,,Mo-Su 05:00-02:00,,,House of Tea Cafeteria,burger,,24.2962386,54.6419084,"{""amenity"": ""fast_food"", ""contact:email"": ""houseoftea1992@gmail.com"", ""contact:phone"": ""+971 2 585 8484;+971 56 508 3983"", ""contact:website"": ""https://houseoftea.ae"", ""cuisine"": ""burger"", ""name"": ""House of Tea"", ""opening_hours"": ""Mo-Su 05:00-02:00"", ""operator"": ""House of Tea Cafeteria"", ""takeaway"": ""only""}"
node/10017927618,node,10017927618,fast_food,House of Tea,,,,,24/7,,,House of Tea Cafeteria,burger,,24.4324124,54.4354777,"{""amenity"": ""fast_food"", ""contact:email"": ""houseoftea1992@gmail.com"", ""contact:phone"": ""+971 2 665 5999;+971 54 994 1649"", ""contact:website"": ""https://houseoftea.ae"", ""cuisine"": ""burger"", ""name"": ""House of Tea"", ""opening_hours"": ""24/7"", ""operator"": ""House of Tea Cafeteria"", ""takeaway"": ""only""}"
node/10017927619,node,10017927619,fast_food,House of Tea,,,,,Mo-Su 06:00-01:00,,,House of Tea Cafeteria,burger,,24.463411,54.3807619,"{""amenity"": ""fast_food"", ""contact:email"": ""houseoftea1992@gmail.com"", ""contact:phone"": ""+971 2 562 4455;+971 54 998 7439"", ""contact:website"": ""https://houseoftea.ae"", ""cuisine"": ""burger"", ""name"": ""House of Tea"", ""opening_hours"": ""Mo-Su 06:00-01:00"", ""operator"": ""House of Tea Cafeteria"", ""takeaway"": ""only""}"
node/10017927620,node,10017927620,fast_food,House of Tea,,,,,Mo-Su 06:00-00:00,,,House of Tea Cafeteria,burger,,24.441939,54.711463,"{""amenity"": ""fast_food"", ""contact:email"": ""houseoftea1992@gmail.com"", ""contact:phone"": ""+971 2 877 7333;+971 54 994 1646"", ""contact:website"": ""https://houseoftea.ae"", ""cuisine"": ""burger"", ""name"": ""House of Tea"", ""opening_hours"": ""Mo-Su 06:00-00:00"", ""operator"": ""House of Tea Cafeteria"", ""takeaway"": ""only""}"
node/10017927621,node,10017927621,fast_food,House of Tea,,,,,24/7,,,House of Tea Cafeteria,burger,,24.3435557,54.5368436,"{""amenity"": ""fast_food"", ""contact:email"": ""houseoftea1992@gmail.com"", ""contact:phone"": ""+971 2 558 6633;+971 54 998 3530"", ""contact:website"": ""https://houseoftea.ae"", ""cuisine"": ""burger"", ""name"": ""House of Tea"", ""opening_hours"": ""24/7"", ""operator"": ""House of Tea Cafeteria"", ""takeaway"": ""only""}"
node/10017927622,node,10017927622,fast_food,House of Tea,,,,,"Fr 06:00-12:30,13:30-00:00;Mo-Th,Sa-Su 06:00-00:00",,,House of Tea Cafeteria,burger,,24.2998127,54.6249568,"{""amenity"": ""fast_food"", ""contact:email"": ""houseoftea1992@gmail.com"", ""contact:phone"": ""+971 2 583 6367;+971 56 508 3991"", ""contact:website"": ""https://houseoftea.ae"", ""cuisine"": ""burger"", ""name"": ""House of Tea"", ""opening_hours"": ""Fr 06:00-12:30,13:30-00:00;Mo-Th,Sa-Su 06:00-00:00"", ""operator"": ""House of Tea Cafeteria"", ""takeaway"": ""only""}"
node/10017927623,node,10017927623,fast_food,House of Tea,,,,,24/7,,,House of Tea Cafeteria,burger,,24.3215871,54.6159552,"{""amenity"": ""fast_food"", ""contact:email"": ""houseoftea1992@gmail.com"", ""contact:phone"": ""+971 54 994 1647;+971 56 323 9623"", ""contact:website"": ""https://houseoftea.ae"", ""cuisine"": ""burger"", ""name"": ""House of Tea"", ""opening_hours"": ""24/7"", ""operator"": ""House of Tea Cafeteria"", ""takeaway"": ""only""}"
node/10017927625,node,10017927625,fast_food,House of Tea,,,,,Mo-Su 05:30-01:30,,,House of Tea Cafeteria,burger,,24.4936975,54.3710093,"{""amenity"": ""fast_food"", ""contact:email"": ""houseoftea1992@gmail.com"", ""contact:phone"": ""+971 2 674 5277;+971 50 204 9965"", ""contact:website"": ""https://houseoftea.ae"", ""cuisine"": ""burger"", ""name"": ""House of Tea"", ""opening_hours"": ""Mo-Su 05:30-01:30"", ""operator"": ""House of Tea Cafeteria"", ""takeaway"": ""only""}"
node/10017927626,node,10017927626,fast_food,House of Tea,,,,,Mo-Su 04:30-01:30,,,House of Tea Cafeteria,burger,,24.4549092,54.7235334,"{""amenity"": ""fast_food"", ""contact:email"": ""houseoftea1992@gmail.com"", ""contact:phone"": ""+971 2 877 7343;+971 54 994 1662"", ""contact:website"": ""https://houseoftea.ae"", ""cuisine"": ""burger"", ""name"": ""House of Tea"", ""opening_hours"": ""Mo-Su 04:30-01:30"", ""operator"": ""House of Tea Cafeteria"", ""takeaway"": ""only""}"
node/10018259488,node,10018259488,fast_food,Just Burger,,,,,Mo-Su 12:00-04:00,,,Just Burger,burger,,24.4224564,54.5649719,"{""amenity"": ""fast_food"", ""contact:email"": ""gcgroup.uae@gmail.com"", ""contact:facebook"": ""https://facebook.com/justburger.world"", ""contact:instagram"": ""https://instagram.com/just_burger_uae"", ""contact:linkedin"": ""https://linkedin.com/company/justburger"", ""contact:phone"": ""+971 2 677 1377;+971 56 525 1797;+971 600 502005"", ""cuisine"": ""burger"", ""delivery"": ""yes"", ""name"": ""Just Burger"", ""opening_hours"": ""Mo-Su 12:00-04:00"", ""operator"": ""Just Burger""}"
node/10018259490,node,10018259490,fast_food,Just Burger,,,,,Mo-Su 12:00-04:00,,,Just Burger,burger,,24.4521013,54.740839,"{""amenity"": ""fast_food"", ""contact:email"": ""gcgroup.uae@gmail.com"", ""contact:facebook"": ""https://facebook.com/justburger.world"", ""contact:instagram"": ""https://instagram.com/just_burger_uae"", ""contact:linkedin"": ""https://linkedin.com/company/justburger"", ""contact:phone"": ""+971 2 679 1547;+971 56 549 6038;+971 600 502005"", ""cuisine"": ""burger"", ""delivery"": ""yes"", ""name"": ""Just Burger"", ""opening_hours"": ""Mo-Su 12:00-04:00"", ""operator"": ""Just Burger""}"
node/10018259495,node,10018259495,fast_food,Just Burger,,,,,Mo-Su 12:00-04:00,,,Just Burger,burger,,24.3440908,54.537313,"{""amenity"": ""fast_food"", ""contact:email"": ""gcgroup.uae@gmail.com"", ""contact:facebook"": ""https://facebook.com/justburger.world"", ""contact:instagram"": ""https://instagram.com/just_burger_uae"", ""contact:linkedin"": ""https://linkedin.com/company/justburger"", ""contact:phone"": ""+971 2 558 8284;+971 56 991 1260;+971 600 502005"", ""cuisine"": ""burger"", ""delivery"": ""yes"", ""name"": ""Just Burger"", ""opening_hours"": ""Mo-Su 12:00-04:00"", ""operator"": ""Just Burger""}"
node/10029590078,node,10029590078,fast_food,Just Fresh,,,,,Mo-Su 10:00-04:00,,,Just Fresh,ice_cream,,24.3441569,54.5373023,"{""amenity"": ""fast_food"", ""contact:email"": ""gcgroup.uae@gmail.com"", ""contact:instagram"": ""https://instagram.com/just_fresh_uae"", ""contact:phone"": ""+971 56 991 1450;+971 600 502005"", ""cuisine"": ""ice_cream"", ""drink:juice"": ""yes"", ""name"": ""Just Fresh"", ""opening_hours"": ""Mo-Su 10:00-04:00"", ""operator"": ""Just Fresh""}"
node/10029590082,node,10029590082,fast_food,Just Fresh,,,,,Mo-Su 10:00-04:00,,,Just Fresh,ice_cream,,24.4770133,54.3550328,"{""amenity"": ""fast_food"", ""contact:email"": ""gcgroup.uae@gmail.com"", ""contact:instagram"": ""https://instagram.com/just_fresh_uae"", ""contact:phone"": ""+971 2 622 3383;+971 56 525 1763;+971 600 502005"", ""cuisine"": ""ice_cream"", ""drink:juice"": ""yes"", ""name"": ""Just Fresh"", ""opening_hours"": ""Mo-Su 10:00-04:00"", ""operator"": ""Just Fresh""}"
node/10031839602,node,10031839602,convenience,Baqala,,,,,,,,Baqala,,,24.5204678,54.4362011,"{""addr:city"": ""أبو ظبي"", ""addr:city:ar"": ""أبو ظبي"", ""addr:city:en"": ""Abu Dhabi"", ""addr:city:ur"": ""ابوظہبی"", ""addr:postcode"": ""22602"", ""name"": ""Baqala"", ""operator"": ""Baqala"", ""shop"": ""convenience""}"
node/1003388256,node,1003388256,furniture,Al Hawai Office Furniture and Equipment,,,,,,,,,,,24.4578875,54.3815674,"{""name"": ""Al Hawai Office Furniture and Equipment"", ""name:en"": ""Al Hawai Office Furniture and Equipment"", ""shop"": ""furniture""}"
node/10045567322,node,10045567322,restaurants,Salt Mango Restaurant,,,,,,,,,,,24.465677,54.375717,"{""amenity"": ""restaurant"", ""name"": ""Salt Mango Restaurant""}"
node/10050533762,node,10050533762,fast_food,Al Akkawi Flower Cafeteria,,,,,,,,,,,24.3367106,54.5349016,"{""amenity"": ""fast_food"", ""name"": ""Al Akkawi Flower Cafeteria""}"
node/10068788272,node,10068788272,restaurants,Din Tai Fung,Din Tai Fung,Q699142,,,Su-Th 11:00-22:00; Fr-Sa 11:00-00:00,,+97124467273,,taiwanese,,24.5012276,54.3902691,"{""addr:city"": ""أبو ظبي"", ""addr:city:ar"": ""أبو ظبي"", ""addr:city:en"": ""Abu Dhabi"", ""addr:city:ur"": ""ابوظہبی"", ""amenity"": ""restaurant"", ""brand"": ""Din Tai Fung"", ""brand:en"": ""Din Tai Fung"", ""brand:wikidata"": ""Q699142"", ""brand:zh"": ""鼎泰豐"", ""cuisine"": ""taiwanese"", ""indoor_seating"": ""yes"", ""name"": ""Din Tai Fung"", ""name:en"": ""Din Tai Fung"", ""name:zh"": ""鼎泰豐"", ""opening_hours"": ""Su-Th 11:00-22:00; Fr-Sa 11:00-00:00"", ""outdoor_seating"": ""no"", ""phone"": ""+97124467273""}"
node/10068788273,node,10068788273,restaurants,Blaze Pizza,,,,,,,,,pizza,,24.5012576,54.3903767,"{""addr:city"": ""أبو ظبي"", ""addr:city:ar"": ""أبو ظبي"", ""addr:city:en"": ""Abu Dhabi"", ""addr:city:ur"": ""ابوظہبی"", ""addr:postcode"": ""22647"", ""amenity"": ""restaurant"", ""cuisine"": ""pizza"", ""indoor_seating"": ""yes"", ""name"": ""Blaze Pizza"", ""outdoor_seating"": ""no""}"
node/10068788274,node,10068788274,restaurants,Coya,,,,,,,,,,,24.5021742,54.3880529,"{""addr:city"": ""أبو ظبي"", ""addr:city:ar"": ""أبو ظبي"", ""addr:city:en"": ""Abu Dhabi"", ""addr:city:ur"": ""ابوظہبی"", ""addr:postcode"": ""22646"", ""amenity"": ""restaurant"", ""indoor_seating"": ""yes"", ""name"": ""Coya"", ""outdoor_seating"": ""yes""}"
node/10068830551,node,10068830551,electronics,Apple Store,Apple Store,Q421253,,,,,,,,,24.5013132,54.3883852,"{""addr:city"": ""أبو ظبي"", ""addr:city:ar"": ""أبو ظبي"", ""addr:city:en"": ""Abu Dhabi"", ""addr:city:ur"": ""ابوظہبی"", ""addr:postcode"": ""22646"", ""brand"": ""Apple Store"", ""brand:wikidata"": ""Q421253"", ""name"": ""Apple Store"", ""payment:app"": ""yes"", ""payment:cash"": ""yes"", ""payment:credit_cards"": ""yes"", ""shop"": ""electronics"", ""short_name"": ""Apple""}"
node/10075547592,node,10075547592,bus_stops,Saadiyat New York University 2,,,,,,,,Abu Dhabi Department Of Transportation,,,24.5222854,54.434488,"{""bench"": ""no"", ""bus"": ""yes"", ""departures_board"": ""timetable"", ""highway"": ""bus_stop"", ""name"": ""Saadiyat New York University 2"", ""network"": ""City Bus"", ""operator"": ""Abu Dhabi Department Of Transportation"", ""public_transport"": ""platform"", ""ref"": ""1180B"", ""shelter"": ""no"", ""surface"": ""paved""}"
node/10075547593,node,10075547593,bus_stops,Saadiyat New York University 1 / Laffan St,,,,,,,,Abu Dhabi Department Of Transportation,,,24.5238079,54.4328672,"{""bench"": ""no"", ""bus"": ""yes"", ""departures_board"": ""timetable"", ""highway"": ""bus_stop"", ""name"": ""Saadiyat New York University 1 / Laffan St"", ""network"": ""City Bus"", ""operator"": ""Abu Dhabi Department Of Transportation"", ""public_transport"": ""platform"", ""ref"": ""1178B"", ""shelter"": ""no"", ""surface"": ""paved"", ""tactile_paving"": ""yes""}"
node/10077580669,node,10077580669,bus_stops,Al Zeina,,,,,,,,,,,24.4566705,54.6169383,"{""bench"": ""yes"", ""bin"": ""yes"", ""bus"": ""yes"", ""highway"": ""bus_stop"", ""lit"": ""yes"", ""name"": ""Al Zeina"", ""public_transport"": ""platform"", ""shelter"": ""yes""}"
node/10114018618,node,10114018618,fast_food,,,,,,,,,,,,24.4778468,54.3560371,"{""amenity"": ""fast_food"", ""name:en"": ""Shawarma Molok Alsham""}"
node/10114029217,node,10114029217,restaurants,,,,,,,,,,,,24.4783402,54.3566388,"{""amenity"": ""restaurant"", ""name:en"": ""Amir Sham Restaurant & Grill""}"
node/10114029218,node,10114029218,restaurants,,,,,,Mo-Su 06:30-23:30,,,,,,24.4340643,54.4365254,"{""amenity"": ""restaurant"", ""name:en"": ""Afdal Restaurant & Grill"", ""opening_hours"": ""Mo-Su 06:30-23:30""}"
node/10121219343,node,10121219343,restaurants,Brisket,,,,,,,,,barbecue,,24.5281731,54.3657442,"{""addr:city"": ""أبو ظبي"", ""addr:city:ar"": ""أبو ظبي"", ""addr:city:en"": ""Abu Dhabi"", ""addr:city:ur"": ""ابوظہبی"", ""addr:postcode"": ""22300"", ""amenity"": ""restaurant"", ""cuisine"": ""barbecue"", ""name"": ""Brisket""}"
node/10121506928,node,10121506928,furniture,Dar Al Ain Furnishing,,,,,,,,,,,24.5177203,54.3734592,"{""addr:city"": ""أبو ظبي"", ""addr:city:ar"": ""أبو ظبي"", ""addr:city:en"": ""Abu Dhabi"", ""addr:city:ur"": ""ابوظہبی"", ""addr:neighbourhood"": ""MiZa"", ""addr:postcode"": ""22333"", ""name"": ""Dar Al Ain Furnishing"", ""shop"": ""furniture""}"
node/10121506931,node,10121506931,furniture,Al Futaihi Furnishings,,,,,,,,,,,24.5175202,54.3731444,"{""addr:city"": ""أبو ظبي"", ""addr:city:ar"": ""أبو ظبي"", ""addr:city:en"": ""Abu Dhabi"", ""addr:city:ur"": ""ابوظہبی"", ""addr:neighbourhood"": ""MiZa"", ""addr:postcode"": ""22333"", ""name"": ""Al Futaihi Furnishings"", ""shop"": ""furniture""}"
node/10121506939,node,10121506939,furniture,Abu Amer Furnishings,,,,,,,,,,,24.5174817,54.3730852,"{""addr:city"": ""أبو ظبي"", ""addr:city:ar"": ""أبو ظبي"", ""addr:city:en"": ""Abu Dhabi"", ""addr:city:ur"": ""ابوظہبی"", ""addr:neighbourhood"": ""MiZa"", ""addr:postcode"": ""22333"", ""name"": ""Abu Amer Furnishings"", ""shop"": ""furniture""}"
node/10143278075,node,10143278075,bus_stops,,,,,,,,,,,,24.4876653,54.4015002,"{""bus"": ""yes"", ""public_transport"": ""stop_position""}"
